Id,Top-Left,Bottom-Right,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box
0,"(290, 85)","(435, 147)","(362.5, 85)","(362.5, 147)","(290, 116.0)","(435, 116.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
1,"(563, 82)","(730, 147)","(646.5, 82)","(646.5, 147)","(563, 114.5)","(730, 114.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
2,"(744, 92)","(940, 140)","(842.0, 92)","(842.0, 140)","(744, 116.0)","(940, 116.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
3,"(1163, 92)","(1184, 147)","(1173.5, 92)","(1173.5, 147)","(1163, 119.5)","(1184, 119.5)","[107.51046460693954, 5]","[107.51046460693954, 5]","[-1, 0]","[-1, 0]"
4,"(1218, 79)","(1344, 157)","(1281.0, 79)","(1281.0, 157)","(1218, 118.0)","(1344, 118.0)","[107.51046460693954, 4]","[107.51046460693954, 4]","[-1, 0]","[-1, 0]"
5,"(1385, 92)","(1511, 144)","(1448.0, 92)","(1448.0, 144)","(1385, 118.0)","(1511, 118.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
6,"(1646, 79)","(1813, 154)","(1729.5, 79)","(1729.5, 154)","(1646, 116.5)","(1813, 116.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
7,"(1834, 79)","(1897, 140)","(1865.5, 79)","(1865.5, 140)","(1834, 109.5)","(1897, 109.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
8,"(1907, 82)","(1994, 137)","(1950.5, 82)","(1950.5, 137)","(1907, 109.5)","(1994, 109.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
9,"(2127, 89)","(2195, 144)","(2161.0, 89)","(2161.0, 144)","(2127, 116.5)","(2195, 116.5)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
10,"(406, 208)","(488, 280)","(447.0, 208)","(447.0, 280)","(406, 244.0)","(488, 244.0)","[76.69745758498127, 14]","[-1, 0]","[76.69745758498127, 14]","[76.69745758498127, 14]"
11,"(508, 212)","(679, 287)","(593.5, 212)","(593.5, 287)","(508, 249.5)","(679, 249.5)","[83.06924822098729, 15]","[-1, 0]","[83.06924822098729, 15]","[83.06924822098729, 15]"
12,"(305, 287)","(348, 352)","(326.5, 287)","(326.5, 352)","(305, 319.5)","(348, 319.5)","[92.71596410543332, 18]","[-1, 0]","[92.71596410543332, 18]","[92.71596410543332, 18]"
13,"(384, 287)","(537, 352)","(460.5, 287)","(460.5, 352)","(384, 319.5)","(537, 319.5)","[119.26546021376012, 18]","[76.69745758498127, 11]","[76.69745758498127, 11]","[76.69745758498127, 11]"
14,"(573, 294)","(655, 366)","(614.0, 294)","(614.0, 366)","(573, 330.0)","(655, 330.0)","[97.9247159812067, 20]","[83.06924822098729, 12]","[83.06924822098729, 12]","[83.06924822098729, 12]"
15,"(696, 294)","(807, 359)","(751.5, 294)","(751.5, 359)","(696, 326.5)","(807, 326.5)","[87.51714117817149, 21]","[123.67093433786292, 17]","[87.51714117817149, 21]","[87.51714117817149, 21]"
16,"(844, 304)","(906, 362)","(875.0, 304)","(875.0, 362)","(844, 333.0)","(906, 333.0)","[106.51877768731671, 22]","[123.67093433786292, 16]","[-1, 0]","[-1, 0]"
17,"(305, 369)","(440, 431)","(372.5, 369)","(372.5, 431)","(305, 400.0)","(440, 400.0)","[88.9508291136176, 25]","[92.71596410543332, 13]","[88.9508291136176, 25]","[88.9508291136176, 25]"
18,"(462, 373)","(628, 438)","(545.0, 373)","(545.0, 438)","(462, 405.5)","(628, 405.5)","[86.88498144098322, 26]","[102.28025224841792, 15]","[86.88498144098322, 26]","[86.88498144098322, 26]"
19,"(650, 373)","(699, 441)","(674.5, 373)","(674.5, 441)","(650, 407.0)","(699, 407.0)","[67.8122407829147, 21]","[67.8122407829147, 21]","[67.8122407829147, 21]","[80.15609770940699, 27]"
20,"(718, 376)","(766, 451)","(742.0, 376)","(742.0, 451)","(718, 413.5)","(766, 413.5)","[67.59067983087608, 22]","[67.59067983087608, 22]","[67.59067983087608, 22]","[67.8122407829147, 20]"
21,"(788, 383)","(831, 451)","(809.5, 383)","(809.5, 451)","(788, 417.0)","(831, 417.0)","[67.59067983087608, 21]","[67.59067983087608, 21]","[80.4114419718985, 28]","[67.59067983087608, 21]"
22,"(853, 379)","(1078, 455)","(965.5, 379)","(965.5, 455)","(853, 417.0)","(1078, 417.0)","[-1, 0]","[119.86763533164405, 39]","[-1, 0]","[-1, 0]"
23,"(1100, 373)","(1146, 438)","(1123.0, 373)","(1123.0, 438)","(1100, 405.5)","(1146, 405.5)","[99.8611536083977, 31]","[84.77027781009096, 40]","[84.77027781009096, 40]","[84.77027781009096, 40]"
24,"(305, 455)","(408, 520)","(356.5, 455)","(356.5, 520)","(305, 487.5)","(408, 487.5)","[84.28671306914275, 33]","[88.9508291136176, 18]","[84.28671306914275, 33]","[84.28671306914275, 33]"
25,"(433, 458)","(621, 523)","(527.0, 458)","(527.0, 523)","(433, 490.5)","(621, 490.5)","[82.28000972289685, 34]","[86.88498144098322, 19]","[82.28000972289685, 34]","[82.28000972289685, 34]"
26,"(648, 458)","(711, 516)","(679.5, 458)","(679.5, 516)","(648, 487.0)","(711, 487.0)","[101.1236866416568, 28]","[80.15609770940699, 20]","[80.15609770940699, 20]","[80.15609770940699, 20]"
27,"(732, 458)","(829, 526)","(780.5, 458)","(780.5, 526)","(732, 492.0)","(829, 492.0)","[86.81301745706112, 35]","[80.4114419718985, 22]","[80.4114419718985, 22]","[80.4114419718985, 22]"
28,"(851, 461)","(935, 516)","(893.0, 461)","(893.0, 516)","(851, 488.5)","(935, 488.5)","[81.09870529176159, 36]","[-1, 0]","[81.09870529176159, 36]","[81.09870529176159, 36]"
29,"(957, 468)","(1020, 526)","(988.5, 468)","(988.5, 526)","(957, 497.0)","(1020, 497.0)","[-1, 0]","[-1, 0]","[-1, 0]","[-1, 0]"
30,"(1042, 461)","(1124, 533)","(1083.0, 461)","(1083.0, 533)","(1042, 497.0)","(1124, 497.0)","[83.02409288875127, 32]","[83.02409288875127, 32]","[83.02409288875127, 32]","[84.97793831342344, 37]"
31,"(1143, 461)","(1189, 537)","(1166.0, 461)","(1166.0, 537)","(1143, 499.0)","(1189, 499.0)","[70.02856560004639, 38]","[83.02409288875127, 31]","[70.02856560004639, 38]","[70.02856560004639, 38]"
32,"(312, 537)","(440, 602)","(376.0, 537)","(376.0, 602)","(312, 569.5)","(440, 569.5)","[76.73493337457198, 88]","[84.28671306914275, 25]","[76.73493337457198, 88]","[76.73493337457198, 88]"
33,"(481, 537)","(619, 602)","(550.0, 537)","(550.0, 602)","(481, 569.5)","(619, 569.5)","[-1, 0]","[82.28000972289685, 26]","[82.28000972289685, 26]","[82.28000972289685, 26]"
34,"(660, 540)","(836, 605)","(748.0, 540)","(748.0, 605)","(660, 572.5)","(836, 572.5)","[-1, 0]","[86.81301745706112, 28]","[86.81301745706112, 28]","[86.81301745706112, 28]"
35,"(851, 537)","(943, 602)","(897.0, 537)","(897.0, 602)","(851, 569.5)","(943, 569.5)","[-1, 0]","[81.09870529176159, 29]","[81.09870529176159, 29]","[81.09870529176159, 29]"
36,"(981, 543)","(1107, 602)","(1044.0, 543)","(1044.0, 602)","(981, 572.5)","(1107, 572.5)","[120.05103081606588, 38]","[84.97793831342344, 31]","[84.97793831342344, 31]","[84.97793831342344, 31]"
37,"(1134, 540)","(1194, 598)","(1164.0, 540)","(1164.0, 598)","(1134, 569.0)","(1194, 569.0)","[120.05103081606588, 37]","[70.02856560004639, 32]","[70.02856560004639, 32]","[70.02856560004639, 32]"
38,"(1032, 308)","(1071, 359)","(1051.5, 308)","(1051.5, 359)","(1032, 333.5)","(1071, 333.5)","[96.91878042980112, 40]","[96.91878042980112, 40]","[96.91878042980112, 40]","[-1, 0]"
39,"(1107, 297)","(1189, 352)","(1148.0, 297)","(1148.0, 352)","(1107, 324.5)","(1189, 324.5)","[84.77027781009096, 24]","[96.91878042980112, 39]","[84.77027781009096, 24]","[84.77027781009096, 24]"
40,"(1385, 304)","(1462, 355)","(1423.5, 304)","(1423.5, 355)","(1385, 329.5)","(1462, 329.5)","[75.13487871820917, 42]","[75.13487871820917, 42]","[75.13487871820917, 42]","[87.23531395025755, 51]"
41,"(1477, 291)","(1520, 359)","(1498.5, 291)","(1498.5, 359)","(1477, 325.0)","(1520, 325.0)","[59.53360395608517, 43]","[59.53360395608517, 43]","[59.53360395608517, 43]","[75.13487871820917, 41]"
42,"(1535, 291)","(1581, 355)","(1558.0, 291)","(1558.0, 355)","(1535, 323.0)","(1581, 323.0)","[59.53360395608517, 42]","[59.53360395608517, 42]","[90.52209674990964, 44]","[59.53360395608517, 42]"
43,"(1593, 291)","(1704, 359)","(1648.5, 291)","(1648.5, 359)","(1593, 325.0)","(1704, 325.0)","[88.80596826790416, 52]","[90.52209674990964, 43]","[88.80596826790416, 52]","[88.80596826790416, 52]"
44,"(1723, 304)","(1757, 362)","(1740.0, 304)","(1740.0, 362)","(1723, 333.0)","(1757, 333.0)","[73.83935265155024, 53]","[91.84906096417099, 44]","[73.83935265155024, 53]","[73.83935265155024, 53]"
45,"(1781, 291)","(1900, 359)","(1840.5, 291)","(1840.5, 359)","(1781, 325.0)","(1900, 325.0)","[80.51397394241573, 54]","[100.81790515578074, 45]","[80.51397394241573, 54]","[80.51397394241573, 54]"
46,"(1917, 291)","(2011, 355)","(1964.0, 291)","(1964.0, 355)","(1917, 323.0)","(2011, 323.0)","[84.52366532516204, 55]","[97.8698114844409, 48]","[84.52366532516204, 55]","[84.52366532516204, 55]"
47,"(2025, 304)","(2098, 359)","(2061.5, 304)","(2061.5, 359)","(2025, 331.5)","(2098, 331.5)","[81.02468759581859, 56]","[97.37171047075223, 49]","[81.02468759581859, 56]","[81.02468759581859, 56]"
